<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
IMOEX;D;20250106;000000;2813.32;2822.34;2794.2;2816.26;15695727.91512
IMOEX;D;20250108;000000;2814.88;2847.49;2813.39;2840.79;15975642.928954
IMOEX;D;20250109;000000;2841.61;2853.96;2768.58;2773.12;37241866.199481
IMOEX;D;20250110;000000;2767.27;2843.34;2744.58;2824.59;55770672.659863
IMOEX;D;20250113;000000;2852.31;2882.49;2835.12;2866.11;50015886.264776
IMOEX;D;20250114;000000;2847.36;2881.79;2828.41;2859.51;35355553.055128
IMOEX;D;20250115;000000;2867.93;2879.64;2838.59;2842.96;25445790.680152
IMOEX;D;20250116;000000;2893.67;2929.28;2892.47;2911.29;38019207.201331
IMOEX;D;20250117;000000;2905.26;2949.7;2893.16;2945.52;38377420.193379
IMOEX;D;20250120;000000;2974.56;2983.3;2918.34;2929.55;48126937.004276
IMOEX;D;20250121;000000;2918.08;2937.32;2884.94;2934.71;31158041.944572
